prog01: Python in Easy Steps, Mike McGrath, In Easy Steps Limited, July 2013
prog02: HTML + CSS Basics, Amber Smith, Leeds Book Company, February 2010
prog03: Javascript Fundamentals, Joe Mclaron, The Coding Academy, March 2008
prog04: C++ C# Made Easy, Ronald Greenwood, Computer Science Geeks, October 2017
prog05: Computational Thinking Explained, Ola Austin, IT Made Easy, August 2003
prog01: Python in Easy Steps, Mike McGrath, In Easy Steps Limited, July 2013
prog02: HTML + CSS Basics, Amber Smith, Leeds Book Company, February 2010
prog03: Javascript Fundamentals, Joe Mclaron, The Coding Academy, March 2008
prog04: C++ C# Made Easy, Ronald Greenwood, Computer Science Geeks, October 2017
prog05: Computational Thinking Explained, Ola Austin, IT Made Easy, August 2003
prog01: Python in Easy Steps, Mike McGrath, In Easy Steps Limited, July 2013
prog02: HTML + CSS Basics, Amber Smith, Leeds Book Company, February 2010
prog03: Javascript Fundamentals, Joe Mclaron, The Coding Academy, March 2008
prog04: C++ C# Made Easy, Ronald Greenwood, Computer Science Geeks, October 2017
prog05: Computational Thinking Explained, Ola Austin, IT Made Easy, August 2003
